Performing Handshake...
Handshake Success! Token: 5753BA20B02AB398802EEC7D9165E19A
Fetching Profile (Auth Confirmation)...

Fetching Categories...
Found 94 categories.
ID     Title                                    Alias
56     KANNADA MOVIES | COLLECTION              KANNADA_MOVIES__COLLECTION
57     KANNADA DUB MOVIES                       KANNADA_DUB_MOVIES
58     HINDI DUB | K-DRAMAS                     HINDI_DUB_K-DRAMAS
59     HINDI RELIGIOUS                          HINDI_RELIGIOUS
60     K-DRAMAS COLLECTION                      ENGLISH_DUB__K-DRAMAS
61     HINDI DUB | ANIME                        HINDI_DUB__ANIME
62     HINDI WEB SERIES (18+)                   HINDI_WEB_SERIES_18
63     HINDI MOVIES | CAM                       HINDI_MOVIES__CAM_PREDVD
64     PUNJABI MOVIES | CAM                     PUNJABI_MOVIES__CAM_PREDVD
65     ENGLISH MOVIES | CAM                     ENGLISH_MOVIES__CAM_PREDVD
66     KIDS MOVIES | CAM                        KIDS_MOVIES__CAM_PREDVD
67     GUJARATI MOVIES | CAM                    GUJARATI_MOVIES__CAM_PREDVD
68     BENGALI MOVIES | CAM                     BENGALI_MOVIES__CAM_PREDVD
69     TAMIL MOVIES | CAM                       TAMIL_MOVIES__CAM_PREDVD
70     TELUGU MOVIES | CAM                      TELUGU_MOVIES__CAM_PREDVD
71     MALAYALAM MOVIES | CAM                   MALAYALAM_MOVIES__CAM_PREDVD
72     KANNADA MOVIES | CAM                     KANNADA_MOVIES__CAM_PREDVD
73     MARATHI MOVIES | CAM                     MARATHI_MOVIES__CAM_PREDVD
74     PUNJABI MOVIES | ENG SUBTITLE            PUNJABI_MOVIES__ENG_SUBTITLE
75     HINDI MOVIES | 4K                        HINDI_MOVIES__4K
76     PUNJABI MOVIES | 4K                      PUNJABI_MOVIES__4K
77     ENGLISH MOVIES | 4K                      ENGLISH_MOVIES__4K
78     TAMIL MOVIES | 4K                        TAMIL_MOVIES__4K
79     TELUGU MOVIES | 4K                       TELUGU_MOVIES__4K
80     MALAYALAM MOVIES | 4K                    MALAYALAM_MOVIES__4K
81     KANNADA MOVIES | 4K                      KANNADA_MOVIES__4K
82     HINDI DUB | SOUTH MOVIES 4K              HINDI_DUB__SOUTH_MOVIES_4K
83     ADULTS                                   ADULTS
84     ENGLISH DOCU | SERIES                    ENGLISH_DOCUMENTARIES__SERIES
85     GUJARATI MOVIES 4K                       GUJARATI_MOVIES_4K
86     MARATHI MOVIES | 4K                      MARATHI_MOVIES_4K
87     BENGALI MOVIES 4K                        BENGALI_MOVIES_4K
88     KIDS MOVIES | 4K                         KIDS_MOVIES_4K
89     FRENCH MOVIES                            FRENCH_MOVIES
90     FRENCH MOVIES | 4K                       FRENCH_MOVIES_4K
91     FRENCH SERIES                            FRENCH_SERIES
92     SPANISH MOVIES                           SPANISH_MOVIES
93     SPANISH MOVIES | 4K                      SPANISH_MOVIES__4K
94     SPANISH SERIES                           SPANISH_SERIES
